"","family","genus","species","taxonomic.rank","taxon","LME","FAO","habitat","reference.habitat","feeding.mode","reference.feeding.mode","tl","level.tl","reference.tl","body.shape","fin.shape","AR","level.AR","reference.AR","offspring.size","level.offspring.size","reference.offspring.size","spawning.type","reference.spawning.type","age.maturity","level.age.maturity","reference.age.maturity","fecundity","level.fecundity","reference.fecundity","length.infinity","growth.coefficient","level.growth","reference.growth","length.max","level.length.max","reference.length.max","age.max","level.age.max","reference.age.max"
"4032","Pleuronectidae","Limanda","limanda","S","Limanda limanda",21,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.39,"spe","FroesePauly2018","flat","rounded",1.11,"spe","FroesePauly2018",1.2,"spe","Wiedmann2014","non-guarder","FroesePauly2018",2.6,"spe-ocean","FroesePauly2019",236000,"spe-LME","FroesePauly2018",31,0.29,"spe-FAO","FroesePauly2018",44,"spe-FAO","FroesePauly2018",12,"spe","FroesePauly2018"
"4033","Pleuronectidae","Limanda","limanda","S","Limanda limanda",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.39,"spe","FroesePauly2018","flat","rounded",1.11,"spe","FroesePauly2018",1.2,"spe","Wiedmann2014","non-guarder","FroesePauly2018",2.6,"spe-ocean","FroesePauly2019",236000,"spe-LME","FroesePauly2018",29,0.31,"spe-LME","FroesePauly2018",44,"spe-LME","FroesePauly2018",12,"spe","FroesePauly2018"
"4034","Pleuronectidae","Limanda","limanda","S","Limanda limanda",23,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.39,"spe","FroesePauly2018","flat","rounded",1.11,"spe","FroesePauly2018",1.2,"spe","Wiedmann2014","non-guarder","FroesePauly2018",2.6,"spe-ocean","FroesePauly2019",236000,"spe-LME","FroesePauly2018",38,0.25,"spe-LME","FroesePauly2018",44,"spe-FAO","FroesePauly2018",12,"spe","FroesePauly2018"
"4035","Pleuronectidae","Limanda","limanda","S","Limanda limanda",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.39,"spe","FroesePauly2018","flat","rounded",1.11,"spe","FroesePauly2018",1.2,"spe","Wiedmann2014","non-guarder","FroesePauly2018",2.6,"spe-ocean","FroesePauly2019",236000,"spe-LME","FroesePauly2018",31,0.29,"spe-FAO","FroesePauly2018",44,"spe-LME","FroesePauly2018",12,"spe","FroesePauly2018"
"4036","Pleuronectidae","Limanda","limanda","S","Limanda limanda",59,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.39,"spe","FroesePauly2018","flat","rounded",1.11,"spe","FroesePauly2018",1.2,"spe","Wiedmann2014","non-guarder","FroesePauly2018",2.6,"spe-ocean","FroesePauly2019",236000,"spe-LME","FroesePauly2018",31,0.29,"spe-FAO","FroesePauly2018",44,"spe-FAO","FroesePauly2018",12,"spe","FroesePauly2018"
"4074","Pleuronectidae","Platichthys","flesus","S","Platichthys flesus",20,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.32,"spe","FroesePauly2018","flat","rounded",0.61,"spe","FroesePauly2018",0.95,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.8,"spe-ocean","FroesePauly2019",1177674,"spe-LME","FroesePauly2018",41,0.36,"spe-LME","FroesePauly2018",58,"spe-FAO","FroesePauly2018",15,"spe","FroesePauly2018"
"4075","Pleuronectidae","Platichthys","flesus","S","Platichthys flesus",21,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.32,"spe","FroesePauly2018","flat","rounded",0.61,"spe","FroesePauly2018",0.95,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.8,"spe-ocean","FroesePauly2019",1177674,"spe-LME","FroesePauly2018",41,0.36,"spe-LME","FroesePauly2018",58,"spe-FAO","FroesePauly2018",15,"spe","FroesePauly2018"
"4076","Pleuronectidae","Platichthys","flesus","S","Platichthys flesus",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.32,"spe","FroesePauly2018","flat","rounded",0.61,"spe","FroesePauly2018",0.95,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.8,"spe-ocean","FroesePauly2019",1177674,"spe-LME","FroesePauly2018",41,0.36,"spe-LME","FroesePauly2018",58,"spe-LME","FroesePauly2018",15,"spe","FroesePauly2018"
"4077","Pleuronectidae","Platichthys","flesus","S","Platichthys flesus",23,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.32,"spe","FroesePauly2018","flat","rounded",0.61,"spe","FroesePauly2018",0.95,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.8,"spe-ocean","FroesePauly2019",1177674,"spe-LME","FroesePauly2018",41,0.24,"spe-LME","FroesePauly2018",58,"spe-LME","FroesePauly2018",15,"spe","FroesePauly2018"
"4078","Pleuronectidae","Platichthys","flesus","S","Platichthys flesus",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.32,"spe","FroesePauly2018","flat","rounded",0.61,"spe","FroesePauly2018",0.95,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.8,"spe-ocean","FroesePauly2019",1177674,"spe-LME","FroesePauly2018",41,0.26,"spe-FAO","FroesePauly2018",58,"spe-FAO","FroesePauly2018",15,"spe","FroesePauly2018"
"4079","Pleuronectidae","Platichthys","flesus","S","Platichthys flesus",25,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.32,"spe","FroesePauly2018","flat","rounded",0.61,"spe","FroesePauly2018",0.95,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.8,"spe-ocean","FroesePauly2019",1177674,"spe-LME","FroesePauly2018",41,0.26,"spe-FAO","FroesePauly2018",58,"spe-FAO","FroesePauly2018",15,"spe","FroesePauly2018"
"4080","Pleuronectidae","Platichthys","flesus","S","Platichthys flesus",59,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.32,"spe","FroesePauly2018","flat","rounded",0.61,"spe","FroesePauly2018",0.95,"spe","FroesePauly2018","non-guarder","FroesePauly2018",3.8,"spe-ocean","FroesePauly2019",1177674,"spe-LME","FroesePauly2018",41,0.26,"spe-FAO","FroesePauly2018",58,"spe-FAO","FroesePauly2018",15,"spe","FroesePauly2018"
"4087","Pleuronectidae","Pleuronectes","platessa","S","Pleuronectes platessa",19,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.23,"spe","FroesePauly2018","flat","rounded",1.4,"spe","FroesePauly2018",2.17,"spe","Wiedmann2014","non-guarder","FroesePauly2018",3.5,"spe-FAO","FroesePauly2019",552000,"spe","Pecuchet2017",55,0.13,"spe-FAO","FroesePauly2018",100,"spe-ocean","FroesePauly2018",30,"spe","FroesePauly2018"
"4088","Pleuronectidae","Pleuronectes","platessa","S","Pleuronectes platessa",20,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.23,"spe","FroesePauly2018","flat","rounded",1.4,"spe","FroesePauly2018",2.17,"spe","Wiedmann2014","non-guarder","FroesePauly2018",10,"spe-LME","Wiedmann2015",552000,"spe","Pecuchet2017",59,0.12,"spe-LME","FroesePauly2018",86,"spe-LME","Wiedmann2014",36,"spe","Wiedmann2014"
"4089","Pleuronectidae","Pleuronectes","platessa","S","Pleuronectes platessa",21,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.23,"spe","FroesePauly2018","flat","rounded",1.4,"spe","FroesePauly2018",2.17,"spe","Wiedmann2014","non-guarder","FroesePauly2018",3.5,"spe-FAO","FroesePauly2019",552000,"spe","Pecuchet2017",55,0.13,"spe-FAO","FroesePauly2018",100,"spe-ocean","FroesePauly2018",30,"spe","FroesePauly2018"
"4090","Pleuronectidae","Pleuronectes","platessa","S","Pleuronectes platessa",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.23,"spe","FroesePauly2018","flat","rounded",1.4,"spe","FroesePauly2018",2.17,"spe","Wiedmann2014","non-guarder","FroesePauly2018",3.5,"spe-FAO","FroesePauly2019",552000,"spe","Pecuchet2017",51,0.15,"spe-LME","FroesePauly2018",100,"spe-ocean","FroesePauly2018",30,"spe","FroesePauly2018"
"4091","Pleuronectidae","Pleuronectes","platessa","S","Pleuronectes platessa",23,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.23,"spe","FroesePauly2018","flat","rounded",1.4,"spe","FroesePauly2018",2.17,"spe","Wiedmann2014","non-guarder","FroesePauly2018",3.5,"spe-FAO","FroesePauly2019",552000,"spe","Pecuchet2017",55,0.16,"spe-LME","FroesePauly2018",100,"spe-ocean","FroesePauly2018",30,"spe","FroesePauly2018"
"4092","Pleuronectidae","Pleuronectes","platessa","S","Pleuronectes platessa",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.23,"spe","FroesePauly2018","flat","rounded",1.4,"spe","FroesePauly2018",2.17,"spe","Wiedmann2014","non-guarder","FroesePauly2018",4,"spe-LME","FroesePauly2019",552000,"spe","Pecuchet2017",58,0.12,"spe-LME","FroesePauly2018",100,"spe-ocean","FroesePauly2018",30,"spe","FroesePauly2018"
"4093","Pleuronectidae","Pleuronectes","platessa","S","Pleuronectes platessa",59,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.23,"spe","FroesePauly2018","flat","rounded",1.4,"spe","FroesePauly2018",2.17,"spe","Wiedmann2014","non-guarder","FroesePauly2018",3.5,"spe-FAO","FroesePauly2019",552000,"spe","Pecuchet2017",55,0.13,"spe-FAO","FroesePauly2018",100,"spe-ocean","FroesePauly2018",30,"spe","FroesePauly2018"
"4345","Rajidae","Raja","clavata","S","Raja clavata",20,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.84,"spe","FroesePauly2018","flat","pointed",NA,"","",65,"spe","Pecuchet2017","non-guarder","FroesePauly2018",5.4,"spe-FAO","FroesePauly2019",94,"spe","Pecuchet2017",111,0.13,"spe-LME","FroesePauly2018",139,"spe-FAO","FroesePauly2018",15,"spe","FroesePauly2018"
"4346","Rajidae","Raja","clavata","S","Raja clavata",21,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.84,"spe","FroesePauly2018","flat","pointed",NA,"","",65,"spe","Pecuchet2017","non-guarder","FroesePauly2018",5.4,"spe-FAO","FroesePauly2019",94,"spe","Pecuchet2017",111,0.13,"spe-LME","FroesePauly2018",139,"spe-FAO","FroesePauly2018",15,"spe","FroesePauly2018"
"4347","Rajidae","Raja","clavata","S","Raja clavata",22,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.84,"spe","FroesePauly2018","flat","pointed",NA,"","",65,"spe","Pecuchet2017","non-guarder","FroesePauly2018",5.4,"spe-FAO","FroesePauly2019",94,"spe","Pecuchet2017",111,0.13,"spe-LME","FroesePauly2018",139,"spe-LME","FroesePauly2018",15,"spe","FroesePauly2018"
"4348","Rajidae","Raja","clavata","S","Raja clavata",24,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.84,"spe","FroesePauly2018","flat","pointed",NA,"","",65,"spe","Pecuchet2017","non-guarder","FroesePauly2018",6.1,"spe-LME","FroesePauly2019",94,"spe","Pecuchet2017",118,0.15,"spe-LME","FroesePauly2018",139,"spe-LME","FroesePauly2018",15,"spe","FroesePauly2018"
"4349","Rajidae","Raja","clavata","S","Raja clavata",25,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.84,"spe","FroesePauly2018","flat","pointed",NA,"","",65,"spe","Pecuchet2017","non-guarder","FroesePauly2018",5.4,"spe-FAO","FroesePauly2019",94,"spe","Pecuchet2017",118,0.13,"spe-FAO","FroesePauly2018",90,"spe-LME","FroesePauly2018",15,"spe","FroesePauly2018"
"4350","Rajidae","Raja","clavata","S","Raja clavata",26,37,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.84,"spe","FroesePauly2018","flat","pointed",NA,"","",65,"spe","Pecuchet2017","non-guarder","FroesePauly2018",6.8,"spe-ocean","FroesePauly2019",94,"spe","Pecuchet2017",122,0.1,"spe-FAO","FroesePauly2018",95,"spe-LME","FroesePauly2018",15,"spe","FroesePauly2018"
"4365","Rajidae","Raja","montagui","S","Raja montagui",21,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.88,"spe","FroesePauly2018","flat","pointed",NA,"","",60,"spe","Pecuchet2017","non-guarder","FroesePauly2018",3.8,"spe-FAO","FroesePauly2019",42,"spe-ocean","FroesePauly2018",74,0.19,"spe-LME","FroesePauly2018",77,"spe-FAO","FroesePauly2018",18,"spe","FroesePauly2018"
"4366","Rajidae","Raja","montagui","S","Raja montagui",22,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.88,"spe","FroesePauly2018","flat","pointed",NA,"","",60,"spe","Pecuchet2017","non-guarder","FroesePauly2018",3.8,"spe-FAO","FroesePauly2019",42,"spe-ocean","FroesePauly2018",74,0.19,"spe-LME","FroesePauly2018",77,"spe-LME","FroesePauly2018",18,"spe","FroesePauly2018"
"4367","Rajidae","Raja","montagui","S","Raja montagui",24,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.88,"spe","FroesePauly2018","flat","pointed",NA,"","",60,"spe","Pecuchet2017","non-guarder","FroesePauly2018",3.8,"spe-LME","FroesePauly2019",42,"spe-ocean","FroesePauly2018",83,0.22,"spe-LME","FroesePauly2018",77,"spe-LME","FroesePauly2018",18,"spe","FroesePauly2018"
"4368","Rajidae","Raja","montagui","S","Raja montagui",25,27,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.88,"spe","FroesePauly2018","flat","pointed",NA,"","",60,"spe","Pecuchet2017","non-guarder","FroesePauly2018",3.8,"spe-FAO","FroesePauly2019",42,"spe-ocean","FroesePauly2018",78,0.21,"spe-FAO","FroesePauly2018",77,"spe-FAO","FroesePauly2018",18,"spe","FroesePauly2018"
"4382","Rajidae","Raja","undulata","S","Raja undulata",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.5,"spe","FroesePauly2018","flat","pointed",NA,"","",70,"spe","Pecuchet2017","non-guarder","FroesePauly2018",8.8,"spe","FroesePauly2019",38,"spe","Pecuchet2017",111,0.1,"spe-FAO","FroesePauly2018",114,"spe","Heessen2015",28.9,"spe","FroesePauly2018"
"4383","Rajidae","Raja","undulata","S","Raja undulata",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.5,"spe","FroesePauly2018","flat","pointed",NA,"","",70,"spe","Pecuchet2017","non-guarder","FroesePauly2018",8.8,"spe","FroesePauly2019",38,"spe","Pecuchet2017",111,0.1,"spe-FAO","FroesePauly2018",114,"spe","Heessen2015",28.9,"spe","FroesePauly2018"
"4384","Rajidae","Raja","undulata","S","Raja undulata",25,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.5,"spe","FroesePauly2018","flat","pointed",NA,"","",70,"spe","Pecuchet2017","non-guarder","FroesePauly2018",8.8,"spe","FroesePauly2019",38,"spe","Pecuchet2017",111,0.1,"spe-LME","FroesePauly2018",114,"spe","Heessen2015",28.9,"spe","FroesePauly2018"
"4406","Rajidae","Rostroraja","alba","S","Rostroraja alba",24,27,"demersal","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.41,"spe","FroesePauly2018","flat","pointed",NA,"","",154,"spe","FroesePauly2018","non-guarder","FroesePauly2018",5,"fam-LME","FroesePauly2019",104,"spe-ocean","FroesePauly2018",120,0.13,"fam-LME","FroesePauly2018",230,"spe","FroesePauly2018",21.3,"fam-LME","FroesePauly2018"
"4407","Rajidae","Rostroraja","alba","S","Rostroraja alba",26,37,"demersal","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.41,"spe","FroesePauly2018","flat","pointed",NA,"","",154,"spe","FroesePauly2018","non-guarder","FroesePauly2018",6.9,"fam-ocean","FroesePauly2019",104,"spe-ocean","FroesePauly2018",106,0.13,"fam-FAO","FroesePauly2018",230,"spe","FroesePauly2018",21.3,"fam-FAO","FroesePauly2018"
"4599","Scombridae","Scomber","scombrus","S","Scomber scombrus",5,31,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.63,"spe","FroesePauly2018","fusiform","forked",3.05,"spe","FroesePauly2018",1.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.2,"spe-ocean","FroesePauly2019",598563,"spe-ocean","FroesePauly2018",41,0.34,"spe-ocean","FroesePauly2018",50,"spe-ocean","FroesePauly2018",21,"spe","FroesePauly2018"
"4600","Scombridae","Scomber","scombrus","S","Scomber scombrus",6,21,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.63,"spe","FroesePauly2018","fusiform","forked",3.05,"spe","FroesePauly2018",1.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.2,"spe-ocean","FroesePauly2019",598563,"spe-ocean","FroesePauly2018",44,0.27,"spe-FAO","FroesePauly2018",50,"spe-ocean","FroesePauly2018",21,"spe","FroesePauly2018"
"4601","Scombridae","Scomber","scombrus","S","Scomber scombrus",6,31,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.63,"spe","FroesePauly2018","fusiform","forked",3.05,"spe","FroesePauly2018",1.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.2,"spe-ocean","FroesePauly2019",598563,"spe-ocean","FroesePauly2018",41,0.34,"spe-ocean","FroesePauly2018",50,"spe-ocean","FroesePauly2018",21,"spe","FroesePauly2018"
"4602","Scombridae","Scomber","scombrus","S","Scomber scombrus",7,21,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.63,"spe","FroesePauly2018","fusiform","forked",3.05,"spe","FroesePauly2018",1.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.2,"spe-ocean","FroesePauly2019",598563,"spe-ocean","FroesePauly2018",44,0.26,"spe-LME","FroesePauly2018",50,"spe-ocean","FroesePauly2018",21,"spe","FroesePauly2018"
"4603","Scombridae","Scomber","scombrus","S","Scomber scombrus",8,21,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.63,"spe","FroesePauly2018","fusiform","forked",3.05,"spe","FroesePauly2018",1.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.2,"spe-ocean","FroesePauly2019",598563,"spe-ocean","FroesePauly2018",44,0.27,"spe-FAO","FroesePauly2018",50,"spe-ocean","FroesePauly2018",21,"spe","FroesePauly2018"
"4604","Scombridae","Scomber","scombrus","S","Scomber scombrus",9,21,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.63,"spe","FroesePauly2018","fusiform","forked",3.05,"spe","FroesePauly2018",1.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.2,"spe-ocean","FroesePauly2019",598563,"spe-ocean","FroesePauly2018",44,0.31,"spe-LME","FroesePauly2018",50,"spe-ocean","FroesePauly2018",21,"spe","FroesePauly2018"
"4605","Scombridae","Scomber","scombrus","S","Scomber scombrus",20,27,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.63,"spe","FroesePauly2018","fusiform","forked",3.05,"spe","FroesePauly2018",1.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.2,"spe-ocean","FroesePauly2019",598563,"spe-ocean","FroesePauly2018",41,0.35,"spe-LME","FroesePauly2018",50,"spe-ocean","FroesePauly2018",21,"spe","FroesePauly2018"
"4606","Scombridae","Scomber","scombrus","S","Scomber scombrus",21,27,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.63,"spe","FroesePauly2018","fusiform","forked",3.05,"spe","FroesePauly2018",1.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.2,"spe-ocean","FroesePauly2019",598563,"spe-ocean","FroesePauly2018",41,0.35,"spe-LME","FroesePauly2018",50,"spe-ocean","FroesePauly2018",21,"spe","FroesePauly2018"
"4607","Scombridae","Scomber","scombrus","S","Scomber scombrus",22,27,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.63,"spe","FroesePauly2018","fusiform","forked",3.05,"spe","FroesePauly2018",1.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.2,"spe-ocean","FroesePauly2019",598563,"spe-ocean","FroesePauly2018",41,0.35,"spe-LME","FroesePauly2018",50,"spe-ocean","FroesePauly2018",21,"spe","FroesePauly2018"
"4608","Scombridae","Scomber","scombrus","S","Scomber scombrus",23,27,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.63,"spe","FroesePauly2018","fusiform","forked",3.05,"spe","FroesePauly2018",1.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.2,"spe-ocean","FroesePauly2019",598563,"spe-ocean","FroesePauly2018",40,0.38,"spe-FAO","FroesePauly2018",50,"spe-ocean","FroesePauly2018",21,"spe","FroesePauly2018"
"4609","Scombridae","Scomber","scombrus","S","Scomber scombrus",24,27,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.63,"spe","FroesePauly2018","fusiform","forked",3.05,"spe","FroesePauly2018",1.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.2,"spe-ocean","FroesePauly2019",598563,"spe-ocean","FroesePauly2018",37,0.51,"spe-LME","FroesePauly2018",50,"spe-ocean","FroesePauly2018",21,"spe","FroesePauly2018"
"4610","Scombridae","Scomber","scombrus","S","Scomber scombrus",25,27,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.63,"spe","FroesePauly2018","fusiform","forked",3.05,"spe","FroesePauly2018",1.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.2,"spe-ocean","FroesePauly2019",598563,"spe-ocean","FroesePauly2018",44,0.26,"spe-LME","FroesePauly2018",50,"spe-ocean","FroesePauly2018",21,"spe","FroesePauly2018"
"4611","Scombridae","Scomber","scombrus","S","Scomber scombrus",26,27,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.63,"spe","FroesePauly2018","fusiform","forked",3.05,"spe","FroesePauly2018",1.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.2,"spe-ocean","FroesePauly2019",598563,"spe-ocean","FroesePauly2018",40,0.38,"spe-FAO","FroesePauly2018",50,"spe-ocean","FroesePauly2018",21,"spe","FroesePauly2018"
"4612","Scombridae","Scomber","scombrus","S","Scomber scombrus",26,37,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.63,"spe","FroesePauly2018","fusiform","forked",3.05,"spe","FroesePauly2018",1.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.2,"spe-ocean","FroesePauly2019",598563,"spe-ocean","FroesePauly2018",37,0.42,"spe-FAO","FroesePauly2018",50,"spe-ocean","FroesePauly2018",21,"spe","FroesePauly2018"
"4613","Scombridae","Scomber","scombrus","S","Scomber scombrus",59,27,"pelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.63,"spe","FroesePauly2018","fusiform","forked",3.05,"spe","FroesePauly2018",1.15,"spe","FroesePauly2018","non-guarder","FroesePauly2018",2.2,"spe-ocean","FroesePauly2019",598563,"spe-ocean","FroesePauly2018",40,0.38,"spe-FAO","FroesePauly2018",50,"spe-ocean","FroesePauly2018",21,"spe","FroesePauly2018"
"4658","Scophthalmidae","Scophthalmus","maximus","S","Scophthalmus maximus",20,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.36,"spe","FroesePauly2018","flat","rounded",1.77,"spe","FroesePauly2018",1,"spe","Pecuchet2017","non-guarder","FroesePauly2018",4,"spe-ocean","FroesePauly2019",5000000,"spe","Pecuchet2017",59,0.27,"spe-LME","FroesePauly2018",82,"spe-FAO","FroesePauly2018",25,"spe","FroesePauly2018"
"4659","Scophthalmidae","Scophthalmus","maximus","S","Scophthalmus maximus",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.36,"spe","FroesePauly2018","flat","rounded",1.77,"spe","FroesePauly2018",1,"spe","Pecuchet2017","non-guarder","FroesePauly2018",4,"spe-ocean","FroesePauly2019",5000000,"spe","Pecuchet2017",59,0.27,"spe-LME","FroesePauly2018",82,"spe-LME","FroesePauly2018",25,"spe","FroesePauly2018"
"4660","Scophthalmidae","Scophthalmus","maximus","S","Scophthalmus maximus",23,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.36,"spe","FroesePauly2018","flat","rounded",1.77,"spe","FroesePauly2018",1,"spe","Pecuchet2017","non-guarder","FroesePauly2018",4,"spe-ocean","FroesePauly2019",5000000,"spe","Pecuchet2017",45,0.19,"spe-LME","FroesePauly2018",82,"spe-FAO","FroesePauly2018",25,"spe","FroesePauly2018"
"4661","Scophthalmidae","Scophthalmus","maximus","S","Scophthalmus maximus",24,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.36,"spe","FroesePauly2018","flat","rounded",1.77,"spe","FroesePauly2018",1,"spe","Pecuchet2017","non-guarder","FroesePauly2018",4,"spe-ocean","FroesePauly2019",5000000,"spe","Pecuchet2017",69,0.3,"spe-LME","FroesePauly2018",82,"spe-LME","FroesePauly2018",25,"spe","FroesePauly2018"
"4662","Scophthalmidae","Scophthalmus","maximus","S","Scophthalmus maximus",25,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.36,"spe","FroesePauly2018","flat","rounded",1.77,"spe","FroesePauly2018",1,"spe","Pecuchet2017","non-guarder","FroesePauly2018",4,"spe-ocean","FroesePauly2019",5000000,"spe","Pecuchet2017",57,0.25,"spe-FAO","FroesePauly2018",82,"spe-FAO","FroesePauly2018",25,"spe","FroesePauly2018"
"4663","Scophthalmidae","Scophthalmus","maximus","S","Scophthalmus maximus",26,37,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.36,"spe","FroesePauly2018","flat","rounded",1.77,"spe","FroesePauly2018",1,"spe","Pecuchet2017","non-guarder","FroesePauly2018",4,"spe-ocean","FroesePauly2019",5000000,"spe","Pecuchet2017",63,0.26,"spe-FAO","FroesePauly2018",82,"spe-LME","FroesePauly2018",25,"spe","FroesePauly2018"
"4664","Scophthalmidae","Scophthalmus","maximus","S","Scophthalmus maximus",59,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.36,"spe","FroesePauly2018","flat","rounded",1.77,"spe","FroesePauly2018",1,"spe","Pecuchet2017","non-guarder","FroesePauly2018",4,"spe-ocean","FroesePauly2019",5000000,"spe","Pecuchet2017",57,0.25,"spe-FAO","FroesePauly2018",82,"spe-FAO","FroesePauly2018",25,"spe","FroesePauly2018"
"4665","Scophthalmidae","Scophthalmus","rhombus","S","Scophthalmus rhombus",22,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.42,"spe","FroesePauly2018","flat","rounded",1.45,"spe","FroesePauly2018",1.3,"spe","Pecuchet2017","non-guarder","FroesePauly2018",3,"spe","Heessen2016",10000000,"gen-ocean","FroesePauly2018",44,0.42,"spe-ocean","FroesePauly2018",46,"spe-LME","FroesePauly2018",5.7,"spe-LME","FroesePauly2018"
"4666","Scophthalmidae","Scophthalmus","rhombus","S","Scophthalmus rhombus",23,27,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.42,"spe","FroesePauly2018","flat","rounded",1.45,"spe","FroesePauly2018",1.3,"spe","Pecuchet2017","non-guarder","FroesePauly2018",3,"spe","Heessen2016",10000000,"gen-ocean","FroesePauly2018",44,0.42,"spe-ocean","FroesePauly2018",46,"spe-FAO","FroesePauly2018",5.7,"spe-FAO","FroesePauly2018"
